"SITECODE","DESIGNATIONCODE","DESIGNATEDSITENAME","OVERLAPCODE","OVERLAPPERC"
"FR8201780","FR03","","",30
"FR8201780","FR03","La Bailletaz","*",11
"FR8201780","FR05","","",6
"FR8201780","FR05","Montcenis et vallon de Savine","*",6
"FR8201780","FR13","Vallon du Clou","*",13
"FR8201781","FR05","Marais des Etelles","*",1
"FR8201783","FR03","","",4
"FR8201783","FR06","","",1
"FR8201783","FR06","RBD LA DENT DU VILLARD (0,58%)","*",1
"FR8201785","FR05","","",16
"FR8201785","FR05","Iles de Crépieux Charmy","*",16
"FR8201791","FR00","","",100
"FR8202002","FR07","","",2
"FR8202003","FR24","","",40
"FR8202006","FR13","","",58
"FR8202008","FR00","","",2
"FR8202009","FR12","Château de Coudrée à Sciez","*",2
"FR8202009","FR13","Domaine de Ripaille","*",10
"FR8202009","FR14","","",5
"FR8210016","FR03","Marais de Lavours","=",100
"FR8210018","FR03","Delta de la Dranse","=",100
"FR8210018","IN01","DELTA DE LA DRANSE","=",100
"FR8210032","FR01","Vanoise [cœur]","=",100
"FR8210032","FR03","LA VANOISE","/",0
"FR8210041","FR03","","",100
"FR8210106","FR13","Site classé : Lac Bénit (0,1%)","+",0
"FR8210106","FR24","","",5
"FR8210114","FR05","Massif de la dent de Rez","+",53
"FR8210114","FR12","Site inscrit GORGES DE L'ARDECHE","*",18
"FR8210114","FR13","Site classé PONT D'ARC ET SES ABORDS","+",17
"FR8212001","FR13","","",11
"FR8212001","FR13","Site classé ""Défilé de Fort L'Ecluse""","*",11
"FR8212001","FR20","","",70
"FR8212002","FR19","","",
"FR8212003","FR05","Lacs et marais de Saint-Jean de Chevelu","*",1
"FR8212004","FR05","","",5
"FR8212004","FR17","","",40
"FR8212009","FR06","","",4
"FR8212009","FR07","","",4
"FR8212012","FR15","","",6
"FR8212013","FR15","Massif des Bauges","-",90
"FR8212014","FR04","GORGES DE LA LOIRE","*",10
"FR8212016","FR12","Marais des Echets (site inscrit)","*",0
"FR8212016","FR32","","",0
"FR8212019","FR12","Site inscrit ""Défilé de Trente Pas"" (0,31%)","+",0
"FR8212019","FR12","Site inscrit ""Maisons du village des Pilles"" (0,09%)","*",0
"FR8212020","FR14","","",5
"FR8212021","FR05","","",1
"FR8212021","FR12","Montagne du Roy et crête du plateau de Praz-de-Lys (0,02%)","*",0
"FR8212022","FR13","Site classé Défilé de Fort L'Ecluse","*",3
"FR8212024","FR05","","",0
"FR8212025","FR05","Protection des oiseaux rupestres","*",9
"FR8212026","FR13","","",0
"FR8212028","FR24","","",40
"FR8212032","FR05","","",12.9
"FR8212032","FR05","Bois de la Vernaz et des îles d'Arve","+",5
"FR8212032","FR05","Marais du Pont neuf","*",1
"FR8301015","FR03","Val d'Allier","+",35
"FR8301015","FR05","Grèves et îles temporaires de la rivière Allier","*",5
"FR8301016","FR05","Grèves et îles temporaires de la rivière Allier","*",2
"FR8301016","FR05","Rivière Allier","*",63
"FR8301025","FR23","","",97.8
"FR8301030","FR05","","",0
"FR7300932","FR16","Pyrénées [aire d'adhésion]","*",17
"FR7300934","FR24","Ensemble de forêts communales gérées par l'ONF","",26
"FR7300935","FR16","Pyrénées [aire d'adhésion]","/",0
"FR7300935","FR24","","",5
"FR7300940","FR24","","",12
"FR7300944","FR04","","",1
"FR7300944","FR12","Eperon de Bernicaut et Bassin de St ferréol et abords","",2
"FR7300944","FR13","","",32
"FR7300944","FR15","Haut Languedoc","-",100
"FR7300946","FR07","","",1
"FR7300948","FR15","Haut Languedoc","-",100
"FR7300951","FR23","","",100
"FR7300952","FR12","","",21
"FR7300952","FR31","","",1
"FR7301631","FR24","","",1
"FR7301822","FR05","Iles de Saint Cassian","+",1
"FR7301822","FR05","Saulaie de Saint-Caprais","+",1
"FR7301822","FR05","Verdun Saint Pierre","+",1
"FR7310088","FR01","","",58
"FR7310088","FR23","","",1
"FR7310088","FR24","","",3
"FR7312001","FR07","","",1
"FR7312001","FR13","Grotte de la Cigalère","",0
"FR7312002","FR23","FD de Niaux","",5
"FR7312003","FR20","","",90
"FR7312004","FR05","","",100
"FR7312005","FR06","","",5
"FR7312005","FR06","RBD de Burat Palarquère","",5
"FR7312005","FR07","","",5
"FR7312005","FR23","","",12
"FR7312006","FR23","","",21
"FR7312007","FR12","","",28
"FR7312007","FR13","","",5
"FR7312007","FR23","","",7
"FR7312008","FR12","","",1
"FR7312008","FR24","","",6
"FR7312011","FR24","","",1
"FR7312012","FR06","","",3
"FR7312012","FR07","","",3
"FR7312012","FR24","","",24
"FR7401103","FR04","","",3
"FR7401103","FR05","","",1
"FR7401103","FR13","","",1
"FR7401105","FR05","","",4
"FR7401105","FR05","Tourbière du Longeyroux","+",3
"FR7401105","FR12","SITE INSCRIT","*",7
"FR7401108","FR05","Serpentines de Bettu","+",30
"FR7401111","FR12","","",48
"FR7401111","FR12","SITE INSCRIT","+",48
"FR7401119","FR05","","",100
"FR7401119","FR05","Vallée de la Couze et de la Côte pelée","=",100
"FR7401123","FR23","","",8
"FR7401124","FR03","","",22
"FR7401124","FR32","","",17
"FR8201677","FR05","Lône de la Roussette","*",1
"FR8201678","FR05","Ensemble des Freydières","+",16
"FR8201680","FR05","","",1
"FR8201681","FR13","","",2
"FR8201681","FR15","","",75
"FR8201682","FR23","","",33
"FR8201682","FR32","","",7
"FR8201684","FR15","Vercors","/",1
"FR8201685","FR24","","",5
"FR8201688","FR23","","",27
"FR8201690","FR35","","",2
"FR8201692","FR07","","",5.13
"FR8201694","FR00","","",100
"FR8201695","FR00","","",100
"FR8201698","FR12","","",10
"FR8201699","FR03","","",48
"FR8201699","FR12","GORGES DE LA DIOSAZ","*",1
"FR8201699","IN01","","",36
"FR8201699","IN01","SIXT PASSY","/",0
"FR8201700","FR13","DÉSERT DE PLATÉ, AIGUILLES DE WARENS ET MONTAGNE DE VÉRAN","*",6
"FR8201700","IN01","AIGUILLES ROUGES","/",0
"FR8201702","FR05","","",20
"FR8201703","FR12","","",4
"FR8201704","FR12","","",42
"FR8201705","FR24","","",5
"FR8201706","FR12","","",0
"FR8201709","FR05","","",100
"FR8201709","FR05","Cornettes de Bise","=",100
"FR8201710","FR05","Massif des Voirons","=",100
"FR8201710","FR23","","",12
"FR8201711","FR13","Site classé Défilé de Fort L'Ecluse","*",3
"FR8201712","FR05","Petit Salève","+",6
"FR8201715","FR05","Bois de la Vernaz et des îles d'Arve","+",5
"FR8201715","FR05","Moyenne vallée de l'Arve","+",6
"FR8201719","IN00","Rives du Lac Léman","-",100
"FR8201720","FR12","BOIS ET ROCHERS DE LA MONTAGNE DE CHÈRE (Site inscrit)","*",4
"FR8201720","FR15","Massif des Bauges","*",67
"FR8201723","FR05","","",55
"FR8201723","FR05","Marais de Cré-bouché et Léchère","+",9
"FR8201723","FR20","","",5
"FR8201724","FR00","","",100
"FR8201727","FR12","CENTRE ANCIEN DE CRÉMIEU","*",0
"FR8201727","FR13","GROTTE DE LA BALME","+",0
"FR8201727","FR35","Étangs de Mépieu","*",1
"FR8201728","FR24","","",1
"FR8201732","FR12","","",23
"FR8201733","FR13","Site classé Cascade de l'Oursière","+",0
"FR8201733","FR13","Site classé Lac Achard","*",15
"FR8201736","","Marais du Rif Tord","*",8
"FR8301030","FR13","SITE CLASSE DU HAUT-FOREZ","*",100
"FR8301030","FR24","","",6
"FR8301034","FR08","","",10
"FR8301034","FR08","Méandres de la Sioule","+",10
"FR8301034","FR31","","",1
"FR8301035","FR15","","",32.4
"FR8301035","FR24","","",2
"FR8301035","FR35","","",0.6
"FR8301035","IN01","ROCHER DE LA JACQUETTE","+",1
"FR8301036","FR31","","",2
"FR8301039","FR05","","",10
"FR8301039","FR05","Tourbière de la Morthe","*",3
"FR8301039","FR05","Tourbière de l'Esclauze","*",5
"FR8301040","FR03","","",25
"FR8301040","FR24","","",
"FR8301042","FR03","","",26.6
"FR8301042","FR03","PARC NATUREL DES VOLCANS D'AUVERGNE","-",100
"FR8301042","FR13","VALLEE DE CHAUDEFOUR","+",8
"FR8301042","FR23","","",
"FR8301048","FR15","Livradois-Forez","*",51
"FR8301049","FR15","","",38.49
"FR8301052","FR05","Narse d'Espinasse","",1
"FR8301052","FR24","","",9
"FR8301055","FR00","","",3.5
"FR8301055","FR08","","",1.3
"FR8301055","FR15","Volcans d'Auvergne","",100
"FR8301068","FR23","","",35
"FR8301068","FR24","","",29
"FR8301069","FR99","","",15
"FR8301070","FR13","Mont Mouchet","",
"FR8301070","FR24","","",18
"FR8301072","FR32","","",7
"FR8301074","FR17","","",
"FR8301075","FR12","","",0.1
"FR8301075","FR13","","",0.3
"FR8301076","FR13","","",50
"FR8301079","FR05","","",5
"FR8301079","FR05","APB des stations à bouleau nain","*",5
"FR8301080","FR15","","",40
"FR8301081","FR00","","",100
"FR8301084","FR15","Livradois-Forez","-",100
"FR8301095","FR14","","",0
"FR8301095","FR15","","",10
"FR8301095","FR15","Volcans d'Auvergne","*",10
"FR8301096","FR15","","",80
"FR8302005","FR24","","",5
"FR8302005","FR31","Conservatoire des sites de l'Allier","-",100
"FR8302009","FR15","","",100
"FR8302010","FR15","","",100
"FR8302011","FR31","","",6
"FR8302012","FR15","","",59
"FR8302013","FR31","Landes de Barbecot","+",3
"FR8302017","FR15","","",100
"FR8302017","FR15","Volcans d'Auvergne","-",100
"FR8302018","FR15","","",5
"FR9101405","IN00","Petite Camargue","*",21
"FR9101406","FR12","","",43
"FR9101408","FR13","site classé de l'étang de l'Or","+",70
"FR9101408","FR14","","",11
"FR9101408","FR14","ETANG DE L'OR","*",1
"FR9101408","FR14","LE GRAND TRAVERS","+",4
"FR9101408","FR14","LE PETIT TRAVERS","+",2
"FR9101410","FR20","","",14
"FR9101410","FR32","","",1
"FR9101411","FR13","","",5
"FR9101412","FR14","","",86
"FR9101424","FR05","La Peyroutarié, le Fourcat d'Héric et le Mascar","+",13
"FR9101424","FR07","","",8
"FR9101424","FR15","Haut Languedoc","-",100
"FR9101424","FR17","","",75
"FR9101424","FR23","","",91
"FR9101428","FR15","","",100
"FR9101428","FR23","","",42
"FR9101430","IN01","ROQUE HAUTE","=",100
"FR9101435","FR14","","",10
"FR9101435","FR14","L'OUSTALET","*",4
"FR9101440","FR12","","",25
"FR9101440","FR13","site classé du canal du midi","*",1
"FR9101440","FR14","ILE DE L'AUTE","+",1
"FR9101442","FR12","","",100
"FR9101444","FR24","","",5
"FR9101444","FR24","PNR du Haut Languedoc","*",1
"FR9101458","FR24","","",2
"FR9101458","FR24","FORET COMMUNALE DE PADERN","*",1
"FR9101461","FR00","","",100
"FR9101463","FR08","","",2
"FR9101463","FR15","","",4
"FR9101463","FR99","","",
"FR9101464","FR13","Fort de Salses et ses abords","-",100
"FR9101465","FR14","","",56
"FR9101465","FR14","LE LIDO","+",56
"FR9101470","FR03","","",1
"FR9101470","FR07","","",4
"FR9101471","FR17","Orlu","/",0
"FR9101472","FR00","","",9
"FR9101472","FR05","","",
"FR9101472","FR07","","",9
"FR9101472","FR13","","",
"FR9101472","FR15","","",100
"FR9101473","FR07","","",1
"FR9101473","FR24","","",23
"FR9101475","FR12","","",3
"FR9101481","FR13","Cap Béar, ses abords et le domaine public maritime","*",
"FR9101481","FR14","","",7.3
"FR9101481","FR14","CAP BEAR","+",
"FR9101481","FR14","PLA DE LAS FORQUES","+",2
"FR9101483","FR24","Forêt communale de Banyuls","*",5
"FR9101487","FR12","","",100
"FR9101489","FR12","","",1
"FR9101493","FR14","","",6
"FR9102001","FR00","","",100
"FR9102002","FR12","SI des abords du Fort Saint Pierre","+",30
"FR9102005","FR12","château de Fontdouce et son parc","+",1
"FR9102007","FR13","Manufacture royale et ses abords (monument historique)","*",10
"FR9102008","FR01","","",20
"FR9102008","FR16","","",80
"FR9102009","FR15","","",100
"FR9102009","FR15","Pyrénées catalanes","-",100
"FR9102010","IN02","","",0
"FR9102010","IN04","","",0
"FR9110033","IN03","","",100
"FR9110033","IN03","réserve de biosphère des Cévennes","-",100
"FR9110042","FR20","","",14
"FR9110076","FR03","RESERVE NATURELLE DE PRATS DE MOLLO","+",12
"FR9110080","FR05","","",0
"FR9110105","FR16","","",75
"FR9110111","","FR9112008","/",0
"FR9110111","FR05","","",2
"FR9112002","FR05","Arrêté de biotope de la commune de Mourèze","+",2
"FR9112002","FR13","","",55
"FR9112003","FR05","","",1
"FR9112004","FR13","","",22
"FR9112006","FR12","PLATEAU ET BOURG DE LEUCATE ET DE LA FRANQUI","*",3
"FR9112006","FR14","","",1
"FR9112006","FR15","La Narbonnaise","+",100
"FR9112007","FR12","","",30
"FR9112007","FR12","AGGLOMERATION ET BORDURES DE L'ETANG DE BAGES","*",15
"FR9112007","FR12","ETANG DE GRUISSAN ET SES ABORDS","*",3
"FR9112007","FR12","ILES DE STE LUCIE, DE L'AUTE, DE LA PLANASSE ET DU SOUILIE","*",12
"FR9112007","FR14","diverses propriétés dans le périmètre","-",15
"FR9112007","IN05","CANAL DU MIDI","*",2
"FR9112008","FR12","","",3
"FR9112008","FR13","TERRAINS ENTOURANT  L'ABBAYE DE FONTFROIDE","-",2
"FR9112008","FR23","","",4
"FR9112008","FR23","FORET DOMANIALE DE FONTFROIDE","-",2
"FR9112008","FR24","PNR DE LA NARBONNAISE EN MEDITERRANEE","*",25
"FR9112011","FR23","","",7
"FR9112011","FR23","FD DE LA SERRANE","*",2
"FR9112011","FR24","diverses forêts communales","*",3
"FR9112013","FR13","Etang de la Ville et ses abords","+",2
"FR9112013","FR15","domaines de capelude, Terre Neuve et La Janine","*",3
"FR9112013","IN00","Camargue","*",75
"FR9112017","FR05","","",1
"FR9112017","FR14","LE GRAND TRAVERS","+",4
"FR9112019","FR13","SC MASSIF DU CAROUX ET GORGES D'HERIC","*",20
"FR9112019","FR15","","",100
"FR9112019","FR24","","",15
"FR9112020","FR00","","",100
"FR9112024","FR15","","",100
"FR9112025","FR18","Réserve de l'Esparrou","-",13
"FR9112028","FR12","","",2
"FR9112028","FR12","VALLEE DE L'ORBIEU (site inscrit)","-",1
"FR9112029","FR23","","",10
"FR9112030","FR12","PLATEAU ET BOURGS DE LEUCATE ET LA FRANQUI","*",100
"FR9112030","FR14","PNR DE LA NARBONNAISE EN MEDITERRANEE","+",100
"FR9112030","FR15","","",100
"FR9112031","FR13","","",31
"FR9112033","FR12","Concluses","+",3
"FR9112033","FR12","Hameau de le Roux","+",1
"FR9112033","FR12","Ruisseau et ses abords","+",1
"FR9112034","FR03","Réserve marine de Cerbère Banyuls","",2
"FR9112035","FR00","","",
"FR9112037","FR00","","",0
"FR9301497","FR13","","",16
"FR9301498","FR03","HAUTE VALLEE DU TORRENT DE SAINT PIERRE","*",1
"FR9301498","FR16","","",30
"FR9301498","FR16","Ecrins [aire d'adhésion]","*",30
"FR9301499","FR16","Ecrins [aire d'adhésion]","*",3
"FR9301502","FR12","Mont Dauphin","+",1
"FR9301502","FR13","Plaine dite sous le Roc","+",1
"FR9301503","FR13","","",1
"FR9301503","FR24","","",20
"FR9301505","FR01","Ecrins [cœur]","*",62
"FR9301505","FR23","","",13
"FR9301506","FR01","Ecrins [cœur]","*",72
"FR9301506","FR03","Haute Vallée de la Séveraisse","*",1
"FR9301506","FR12","","",56
"FR9301518","FR23","","",70
"FR9301518","FR24","","",4
"FR9301524","FR13","","",1
"FR9301525","FR16","Ecrins [aire d'adhésion]","/",0
"FR9301529","FR12","Plateau de Dormillouse","*",15
"FR9301535","FR12","","",5
"FR9301535","FR12","CLUES DE BARLES","+",5
"FR9301537","FR23","","",61
"FR9301537","FR24","","",21
"FR9301540","FR07","","",10
"FR9301540","FR15","","",87
"FR9301540","FR15","Verdon","*",87
"FR9301540","FR23","","",29
"FR9301546","FR00","","",100
"FR9301547","FR05","Le Coulomp et ses affluents","*",1
"FR9301547","FR07","","",20
"FR9301547","FR16","","",18
"FR9301549","FR05","","",1
"FR9301549","FR16","","",52
"FR9301550","FR16","","",100
"FR9301550","FR24","","",15
"FR9301554","FR16","","",31
"FR9301554","FR24","","",2
"FR9301556","FR12","","",5
"FR9301559","FR12","","",11
"FR9301559","FR12","Col d'Allos","*",1
"FR9301560","FR16","","",100
"FR9301562","FR23","","",2
"FR9301564","FR24","","",20
"FR9301566","FR16","","",100
"FR9301566","FR23","","",17
"FR9301568","FR14","MONT ALBAN","/",1
"FR9301569","FR05","VALLONS OBSCURS SUD","+",19
"FR9301570","FR04","","",3
"FR9301570","FR12","","",39
"FR9301570","FR13","Site classé - Les Baous : ensemble formé par l'arriere pays","*",9
"FR9301571","FR04","","",2
"FR9301571","FR04","Domaine des Courmettes","*",2
"FR9301571","FR12","'nom du site inconnu 4'","*",32
"FR9301573","FR12","","",5
"FR9301573","FR12","'nom du site inconnu 1'","*",1
"FR9301577","FR00","","",100
"FR9301578","FR13","Site classe : Cirque de Fontaine de Vaucluse","*",3
"FR9301580","FR05","Hêtraie du mont Ventoux","+",3
"FR9301580","FR05","Plateau du mont Serein","*",10
"FR9301580","FR12","","",21
"FR9301580","FR24","","",30
"FR9301582","FR05","","",40
"FR9301582","FR13","","",31
"FR9301582","FR15","","",70
"FR9301583","FR12","","",10
"FR9301585","FR07","","",8
"FR9301585","FR15","Luberon","*",95
"FR9301585","FR24","","",46
"FR9301589","FR04","","",1
"FR9301589","FR05","","",8
"FR9301590","FR05","Islon de la Barthelasse","+",1
"FR9301592","FR04","","",1
"FR9301592","FR13","Etang de Vaccarès","+",13
"FR9301592","FR14","Domaine de la Palissade et autres secteurs","+",1
"FR9301592","IN01","","",11
"FR9301592","IN01","CAMARGUE - RBCE","+",11
"FR9301592","IN03","","",11
"FR9301595","FR03","","",23
"FR9301595","FR04","COUSSOUL DE GINGINE","+",1
"FR9301596","FR03","Coussouls de Crau","*",1
"FR9301601","FR14","COTE BLEUE (parcelles multiples)","*",50
"FR9301602","FR05","Muraille de Chine","+",1
"FR9301602","FR13","","",19
"FR9301602","FR13","Massif des Calanques","+",11
"FR9301602","FR14","","",2
"FR9301602","FR24","","",5
"FR9301606","FR07","","",1
"FR9301606","FR12","FORET, FALAISES ET CRETES DE LA SAINTE BAUME","*",31
"FR9301606","FR23","","",25
"FR9301606","FR32","","",15
"FR9301608","FR05","Falaises du mont Caume","*",1
"FR9301608","FR13","MONT FARON","*",7
"FR9301608","FR23","","",20
"FR9301609","FR14","","",18
"FR9301609","FR14","parcelles multiples (noms inconnus)","+",18
"FR9301613","FR01","","",4
"FR9301613","FR13","","",13
"FR9301613","FR13","Cap Benat et DPM correspondant","*",1
"FR9301613","FR13","Prequ'ile de Giens","*",6
"FR9301615","FR15","","",100
"FR9301616","FR12","Canjuers nord","*",1
"FR9301617","FR00","","",100
"FR9301620","FR13","GORGES DE CHATEAUDOUBLE","*",22
"FR9301622","FR23","","",22
"FR9301622","FR24","","",5
"FR9301624","FR12","(nom du site inconnu)","*",2
"FR9301624","FR13","Corniche des Maures","*",1
"FR9301626","FR13","Vallon de l'abbaye du Thoronet","*",4
"FR9301627","FR14","","",17
"FR9301628","FR07","","",3
"FR9301628","FR23","","",40
"FR9301628","IN06","","",100
"FR9301996","FR13","DPM, au droit du cap Ferrat","*",8
"FR9301999","FR12","","",1
"FR9302002","FR24","","",70
"FR9302003","FR05","","",29
"FR9302007","FR15","","",100
"FR9302008","IN03","","",60
"FR9302008","IN03","Réserve de Biosphère du Luberon","*",60
"FR9310019","FR04","Domaine de la Tour du Valat","+",1
"FR9310019","FR13","Etang de Vaccarès","+",7
"FR9310019","FR18","","",1
"FR9310019","FR18","Réserve de chasse DPM, au droit de la réserve nationale","+",1
"FR9310019","IN00","","",51
"FR9310019","IN02","","",6
"FR9310019","IN03","CAMARGUE - Réserve de Biosphère","+",6
"FR9310020","IN06","PELAGOS : sanctuaire mammiferes marins","*",95
"FR9310035","FR01","","",100
"FR8302018","FR15","Volcans d'Auvergne","*",5
"FR8302021","FR12","5 MONUMENTS INSCRITS","",
"FR8302021","FR13","SITE INSCRIT du bourg et de la vallée de l'AUMANCE","",
"FR8302040","FR00","","",100
"FR8310079","FR03","","",10
"FR8312005","FR05","","",
"FR8312010","FR00","","",
"FR8312011","FR03","","",
"FR8312011","FR05","","",
"FR8312011","FR13","","",1
"FR9101357","FR23","","",30
"FR9101363","FR01","","",50
"FR9101363","FR16","","",50
"FR9101363","FR23","","",2
"FR9101363","IN03","Réserve de biosphère des Cévennes","+",100
"FR9101366","FR16","","",100
"FR9101366","FR16","Cévennes [aire d'adhésion]","-",100
"FR9101367","FR01","Cévennes [cœur]","*",17
"FR9101367","FR16","","",82
"FR9101367","FR16","Cévennes [aire d'adhésion]","*",82
"FR9101367","FR24","Forêt sectionale de la Cévenne des Hauts Gardons","*",1
"FR9101368","IN03","","",3.8
"FR9101371","FR01","","",95
"FR9101371","FR01","Cévennes [cœur]","-",95
"FR9101371","IN03","","",100
"FR9101371","IN03","Réserve de biosphère des Cévennes","+",100
"FR9101375","FR23","","",18
"FR9101378","FR16","Cévennes [aire d'adhésion]","*",25
"FR9101379","FR16","","",70
"FR9101381","FR12","Château de Ro","+",1
"FR9101383","FR16","","",5
"FR9101383","FR16","Cévennes [aire d'adhésion]","*",5
"FR9101383","IN03","","",
"FR9101383","IN03","Réserve de biosphère des Cévennes","+",
"FR9101384","IN03","Réserve de biosphère des Cévennes","*",
"FR9101387","FR12","","",5
"FR9101387","FR12","cirque et hameau du Gourgas (site inscrit)","*",3
"FR9101388","FR06","Réserve biologique domaniale de St Guilhem le Désert","+",1
"FR9101388","FR07","","",1
"FR9101389","FR13","site classé du Pic Saint Loup","*",60
"FR9101392","FR12","ste inscrit des bords du Lez","*",2
"FR9101393","FR00","","",0
"FR9101395","FR13","","",99
"FR9101398","FR12","","",3
"FR9101398","FR13","","",1
"FR9101398","FR24","","",4
"FR9101405","FR15","","",56
"FR9101405","IN00","Camargue","*",70
"FR9310035","FR12","","",
"FR9310064","FR03","","",19
"FR9310067","FR03","Sainte-Victoire","+",1
"FR9310067","FR13","Montagne Sainte Victoire","*",37
"FR9310067","FR23","","",5
"FR9310075","FR07","RBDD Crêtes du Luberon","+",9
"FR9310075","FR13","Site Classé Ponctuel : grotte de Mirabeau","+",0
"FR9310075","IN03","","",90
"FR9310075","IN03","Luberon","*",2
"FR9310075","IN03","Luberon","*",8
"FR9312001","FR14","terrains acquis par le conservatoire du littoral","*",14
"FR9312002","FR13","","",35
"FR9312002","FR13","Les Baous : extension du classement","*",28
"FR9312002","FR32","","",3
"FR9312003","FR04","","",1
"FR9312004","FR07","RBDD du Bois du Chapitre","=",100
"FR9312006","FR19","Canal de Donzère-Mondragon","*",60
"FR9312007","FR13","","",1
"FR9312012","FR15","","",100
"FR9312013","FR05","","",5
"FR9312014","FR23","","",80
"FR9312015","FR12","","",28
"FR9312018","FR05","","",33
"FR9312020","FR05","","",100
"FR9312021","FR15","","",0
"FR9312021","FR15","Queyras","/",0
"FR9312022","FR15","","",99
"FR9312025","FR00","","",100
"FR9312026","FR12","","",41
"FR9400568","FR05","Ile de Capense","+",
"FR9400568","FR13","","",92
"FR9400569","FR05","","",60
"FR9400570","FR14","","",17
"FR9400571","FR03","","",91
"FR9400571","FR14","","",5
"FR9400572","FR14","MUCCHIATANA","+",50
"FR9400573","FR15","","",0.78
"FR9400574","FR13","","",21
"FR9400574","FR14","Bussaja","+",
"FR9400574","FR14","Caspiu","+",
"FR9400574","FR14","Pointe Dorchino","+",
"FR9400574","FR14","Punta Bianca","+",
"FR9400574","IN01","Scandola","+",3
"FR9400574","IN02","","",3
"FR9400574","IN05","Golfe de Porto","",50
"FR9400575","FR05","","",5
"FR9400576","FR15","","",100
"FR9400576","FR20","","",25
"FR9400577","FR12","","",10
"FR9400577","FR14","","",1
"FR9400577","FR23","","",10
"FR9400578","FR13","","",40
"FR9400579","FR23","","",9
"FR9400579","FR24","","",80
"FR9400582","FR20","","",9
"FR9400583","FR15","Corse","-",100
"FR9400583","FR23","","",100
"FR9400585","FR00","","",1.61
"FR9400585","FR14","","",95
"FR9400586","FR05","","",1
"FR9400587","FR14","PALUMBAGGIA","+",
"FR9400587","FR32","","",1
"FR9400591","FR03","Iles Lavezzi","*",85
"FR9400592","FR99","","",0.11
"FR9400593","FR05","Basse vallée de l'Ortolo","+",16
"FR9400593","FR14","","",50
"FR9400598","FR23","","",11
"FR9400603","FR15","","",100
"FR9400604","FR00","","",100
"FR9400606","FR14","","",6
"FR9400609","FR05","","",23
"FR9400611","FR15","","",100
"FR9400613","FR05","","",70
"FR9400613","FR05","Mines de Castifao","+",
"FR9400613","FR15","Corse","*",39
"FR9400615","FR05","","",1
"FR9400616","FR11","","",70
"FR9400618","FR05","","",17
"FR9400618","FR15","","",100
"FR9400619","FR05","","",30
"FR9402002","FR15","","",100
"FR9402008","FR24","","",100
"FR9402009","FR00","","",100
"FR9402013","FR03","","",0
"FR9402013","IN06","","",100
"FR9402013","IN06","PELAGOS : sanctuaire mammifères  marins","",100
"FR9402014","IN06","","",100
"FR9402015","FR03","","",85
"FR9402016","IN06","PELAGOS : sanctuaire mammifères  marins","",100
"FR9402017","FR99","","",100
"FR9410021","FR03","","",85
"FR9410021","FR05","","",0
"FR9410021","IN06","","",100
"FR9410022","FR03","","",100
"FR9410022","FR14","","",1
"FR9410023","FR14","GOLFE DE PORTO ET PRESQUILE DE SCANDOLA","+",1
"FR9410097","FR03","ILES FINOCCHIAROLA ET COTE NORD","+",0
"FR9410097","FR05","","",1
"FR9410097","FR13","","",98
"FR9410097","FR14","","",34
"FR9410097","FR14","ILES FINOCCHIAROLA ET COTE NORD","*",18
"FR9410098","FR14","URBINO","+",14
"FR9410107","FR23","","",15
"FR9410109","FR12","","",55
"FR9410109","FR13","","",18
"FR9410113","FR13","","",5
"FR9410113","FR15","","",100
"FR9412003","FR15","","",100
"FR9412004","FR15","","",100
"FR9412004","IN03","MAB Fango","",100
"FR9412005","FR20","","",64
"FR9412006","FR15","","",100
"FR9412008","FR00","","",20
"FR9412008","FR24","","",80
"FR9412010","IN06","","",100
"GR1110002","GR99","Ethniko parko dasous Dadias - Lefkimmis - Soufliou Zoni B2","*",1.8
"GR1110005","GR08","","",18.34
"GR1110005","GR08","Ethniko parko dasous Dadias - Lefkimmis - Soufliou Periochi prostasias tis fysis Zoni A1","*",5.83
"GR1110005","GR95","Dadia-Lykofos-Lefkimmi","*",17.19
"GR1110005","GR95","Nipsas - Drymou Dimou Traianoupolis","*",0
"GR1110005","GR99","Ethniko parko dasous Dadias - Lefkimmis - Soufliou Zoni B1","*",45.67
"GR1110005","GR99","Ethniko parko dasous Dadias - Lefkimmis - Soufliou Zoni B2b","*",9.75
"GR1110006","GR08","Ethniko ygrotopiko parko delta Evrou - Periochi prostasias tis fysis - zoni A","*",24.54
"GR1110006","GR92","","",2.3
"GR1110006","GR95","Delta Evrou Dimon Tra?anoupolis Ferron","*",43.34
"GR1110006","GR96","","",96.02
"GR1110006","GR96","Ethniko ygrotopiko parko delta Evrou","*",96.02
"GR1110007","GR08","Ethniko ygrotopiko parko delta Evrou - Periochi prostasias tis fysis - zoni A","*",31.26
"GR1110007","IN00","","",88.57
"GR1110008","GR95","","",1.89
"GR1110009","GR95","Nipsas - Drymou Dimou Traianoupolis","*",3.02
"GR1110011","IN06","","",100
"GR1110012","GR95","Alonoudia Dimou Samothrakis","*",2.77
"GR1120003","GR99","Ethniko Parko Oroseiras Rodopis, Perioches Aiforikis Chrisis & Anaptyxis C6B","*",0.04
"GR1120004","GR12","","",25.95
"GR1120004","GR95","Stena Nestou","*",13.61
"GR1120005","GR12","","",88.24
"GR1130006","GR96","","",8.45
"GR1130006","GR99","Periochi oikoanaptixis Ethnikou Parkou Anatolikis Makedonias kai Thrakis","*",5.32
"GR1130009","GR95","Alyki Dimou Aigeirou","+",1.23
